breed,major.grp,region
Akhal-Teke,,﻿Turkmenistan
AmericanMiniatureHorse,pony,United States
AmericanPaint,,United States
Arabian,,﻿Middle East
BENSON,,
ConnemaraPony,pony,Ireland
Dulmenpony,pony,Germany
DutchWarmblood,warmblood,Netherlands
Franches-Montagnes,,﻿Switzerland
Friesiandwarf,Draft,Netherlands
GermanRidingPony,pony,Germany
GermanWarmBlood,warmblood,Germany
Haflinger,warmblood,Germany
Hanoverian,warmblood,Germany
Holsteiner,warmblood,Holsteiner
Icelandic,native,﻿Iceland
Jejuhorse,native,Korea
Lipizzan,,Slovenia
MangalargaMarchador,,﻿Brazil
Marwari,,India
Mongolian,native,﻿Mongolia
MorganHorse,,United States
Noriker,Draft,Austria
Oldenburger,warmblood,Germany
Percheronhorse,Draft,﻿France
Przewalski,przewalskii,
Przewalski-hybrid,przewalskii,
QuarterHorse,,United States
Saxon-ThuringianHeavyWarmblood,warmblood,
Shetland,pony,﻿Scotland
Sorraia,,Portugal
Standardbred,,United States
SwissWarmblood,warmblood,﻿Switzerland
TennesseeWalkingHorse,,United States
Thoroughbred,,﻿England
Trakehner,warmblood,Germany
UKWarmblood50Quarter,warmblood,
WelshPony,pony,Wales
Yakutianhorse,native,Siberia
