Akhal-Teke,
American Miniature Horse,
American Paint,
Arabian,
BENSON,
Connemara Pony,
Dulmen pony,
Dutch Warmblood,wb
Franches-Montagnes,wb
Friesian dwarf,
German Riding Pony,
German WarmBlood,wb
Haflinger,
Hanoverian,wb
Holsteiner,wb
Icelandic,
Jeju horse,
Lipizzan,
Mangalarga Marchador,
Marwari,
Mongolian,
Morgan Horse,
Noriker,
Oldenburger,wb
Percheron horse,
Przewalski,
Przewalski-hybrid,
Quarter Horse,
Saxon-Thuringian Heavy Warmblood,wb
Shetland,
Sorraia,
Standardbred,
Swiss Warmblood,wb
Tennessee Walking Horse,
Thoroughbred,
Trakehner,wb
UK Warmblood (>50% Quarter),wb
Welsh Pony,
Yakutian horse,
