"A","B","C","f3","stderr","zscore"
"BENSON","Thoroughbred","Noriker",-0.011,0.003,-3.465
"BENSON","Jeju","Oldenburger",-0.009,0.003,-2.943
"BENSON","Noriker","Trakehner",-0.011,0.004,-2.732
"BENSON","Jeju","Thoroughbred",-0.008,0.003,-2.699
"BENSON","Welsh Pony","Thoroughbred",-0.007,0.003,-2.452
"BENSON","Oldenburger","American Miniature",-0.008,0.003,-2.281
"BENSON","Dulmen Pony","Oldenburger",-0.008,0.003,-2.273
"BENSON","Oldenburger","Noriker",-0.009,0.004,-2.257
"BENSON","Przewalski","Oldenburger",-0.008,0.004,-2.256
"BENSON","Noriker","Standardbred",-0.007,0.003,-2.079
"BENSON","Haflinger","Thoroughbred",-0.006,0.003,-2.04
"BENSON","Akhal-Teke","Noriker",-0.007,0.003,-2.025
