"A","B","C","D","f4","stderr","zscore"
"Przewalski","BENSON","GermanWarmBlood","Przewalski-hybrid",-0.02,0.004,-5.268
"Przewalski","BENSON","Franches-Montagnes","Przewalski-hybrid",-0.021,0.004,-5.245
"Przewalski","BENSON","ConnemaraPony","Przewalski-hybrid",-0.019,0.004,-5.031
"Przewalski","BENSON","SwissWarmblood","Przewalski-hybrid",-0.022,0.004,-4.974
"Przewalski","BENSON","Akhal-Teke","Przewalski-hybrid",-0.02,0.004,-4.847
"Przewalski","BENSON","QuarterHorse","Przewalski-hybrid",-0.021,0.004,-4.772
"Przewalski","BENSON","Hanoverian","Przewalski-hybrid",-0.02,0.004,-4.576
"Przewalski","BENSON","Haflinger","Przewalski-hybrid",-0.02,0.004,-4.443
"Przewalski","BENSON","DutchWarmblood","Przewalski-hybrid",-0.022,0.005,-4.316
"Przewalski","BENSON","Dulmenpony","Przewalski-hybrid",-0.018,0.005,-3.591
"Przewalski","BENSON","Saxon-ThuringianHeavyWarmblood","Przewalski-hybrid",-0.017,0.005,-3.15
"Przewalski","BENSON","Lipizzan","Standardbred",0.008,0.003,3.083
"Przewalski","BENSON","Przewalski-hybrid","Shetland",0.016,0.004,3.618
"Przewalski","BENSON","Przewalski-hybrid","TennesseeWalkingHorse",0.017,0.005,3.632
"Przewalski","BENSON","Przewalski-hybrid","AmericanMiniatureHorse",0.018,0.005,3.806
"Przewalski","BENSON","Przewalski-hybrid","MangalargaMarchador",0.017,0.004,3.887
"Przewalski","BENSON","Przewalski-hybrid","Lipizzan",0.016,0.004,4.23
"Przewalski","BENSON","Przewalski-hybrid","Mongolian",0.017,0.004,4.249
"Przewalski","BENSON","Przewalski-hybrid","MorganHorse",0.021,0.005,4.362
"Przewalski","BENSON","Przewalski-hybrid","UKWarmblood50Quarter",0.02,0.004,4.52
"Przewalski","BENSON","Przewalski-hybrid","Trakehner",0.022,0.005,4.53
"Przewalski","BENSON","Przewalski-hybrid","Noriker",0.023,0.005,4.62
"Przewalski","BENSON","Przewalski-hybrid","Percheronhorse",0.022,0.005,4.763
"Przewalski","BENSON","Przewalski-hybrid","AmericanPaint",0.02,0.004,4.916
"Przewalski","BENSON","Przewalski-hybrid","Sorraia",0.023,0.004,5.397
"Przewalski","BENSON","Przewalski-hybrid","Standardbred",0.024,0.004,5.659
"Przewalski","BENSON","Przewalski-hybrid","Oldenburger",0.026,0.004,5.762
"Przewalski","BENSON","Przewalski-hybrid","Thoroughbred",0.023,0.004,5.794
