Breed,Major Type,n
Akhal-Teke,hotblood,4
American Miniature Horse,pony,1
American Paint,warmblood,4
Arabian,hotblood,4
Connemara Pony,pony,4
Dulmen pony,pony,1
Dutch Warmblood,warmblood,1
Franches-Montagnes,working,27
Friesian dwarf,working,3
German Riding Pony,pony,3
German WarmBlood,warmblood,13
Haflinger,working,4
Hanoverian,warmblood,4
Holsteiner,warmblood,5
Icelandic,native,2
Jeju horse,native,6
Lipizzan,working,4
Mangalarga Marchador,gaited,1
Marwari,working,1
Mongolian,native,6
Morgan Horse,warmblood,1
Noriker,working,1
Oldenburger,warmblood,1
Percheron horse,working,1
Przewalski,przewalski,9
Przewalski-hybrid,przewalski,1
Quarter Horse,warmblood,3
Saxon-Thuringian Heavy Warmblood,warmblood,1
Shetland,pony,3
Sorraia,working,2
Standardbred,warmblood,14
Swiss Warmblood,warmblood,2
Tennessee Walking Horse,gaited,1
Thoroughbred,hotblood,19
Trakehner,warmblood,1
UK Warmblood (>50% Quarter),warmblood,1
Welsh Pony,pony,2
Yakutian horse,native,9
