Individual Figure Label,Breed
Ind0,UK Warmblood (>50% Quarter)
Ind1,American Paint
Ind2,American Paint
Ind3,American Paint
Ind4,Friesian dwarf
Ind5,Friesian dwarf
Ind6,Friesian dwarf
Ind7,Standardbred
Ind8,Akhal-Teke
Ind9,Akhal-Teke
Ind10,Akhal-Teke
Ind11,Akhal-Teke
Ind12,Arabian
Ind13,Franches-Montagnes
Ind14,Franches-Montagnes
Ind15,Franches-Montagnes
Ind16,Franches-Montagnes
Ind17,Franches-Montagnes
Ind18,Franches-Montagnes
Ind19,Franches-Montagnes
Ind20,Franches-Montagnes
Ind21,Franches-Montagnes
Ind22,Franches-Montagnes
Ind23,Franches-Montagnes
Ind24,Franches-Montagnes
Ind25,Franches-Montagnes
Ind26,Franches-Montagnes
Ind27,Haflinger
Ind28,Dutch Warmblood
Ind30,Quarter Horse
Ind31,Quarter Horse
Ind32,Franches-Montagnes
Ind33,Swiss Warmblood
Ind34,German WarmBlood
Ind35,German WarmBlood
Ind36,German WarmBlood
Ind37,German WarmBlood
Ind38,German WarmBlood
Ind39,German WarmBlood
Ind40,German WarmBlood
Ind41,German WarmBlood
Ind42,German WarmBlood
Ind43,German WarmBlood
Ind44,German WarmBlood
Ind45,German WarmBlood
Ind46,German WarmBlood
Ind47,Thoroughbred
Ind48,Franches-Montagnes
Ind49,Franches-Montagnes
Ind50,German Riding Pony
Ind51,Welsh Pony
Ind52,Arabian
Ind53,German Riding Pony
Ind54,Morgan Horse
Ind55,Holsteiner
Ind56,Oldenburger
Ind57,Welsh Pony
Ind58,Noriker
Ind59,Haflinger
Ind60,Haflinger
Ind61,Haflinger
Ind62,Swiss Warmblood
Ind63,Trakehner
Ind64,American Paint
Ind65,Shetland
Ind66,Icelandic
Ind67,Holsteiner
Ind68,Holsteiner
Ind69,Holsteiner
Ind70,Holsteiner
Ind71,German Riding Pony
Ind72,Franches-Montagnes
Ind73,Icelandic
Ind74,Shetland
Ind75,Shetland
Ind76,American Miniature Horse
Ind77,Percheron horse
Ind78,Arabian
Ind79,Tennessee Walking Horse
Ind80,Mongolian
Ind81,Mangalarga Marchador
Ind82,Mongolian
Ind83,Przewalski-hybrid
Ind84,Przewalski
Ind85,Przewalski
Ind86,Przewalski
Ind87,Przewalski
Ind88,Przewalski
Ind89,Franches-Montagnes
Ind90,Franches-Montagnes
Ind91,Franches-Montagnes
Ind92,Franches-Montagnes
Ind93,Franches-Montagnes
Ind94,Franches-Montagnes
Ind95,Franches-Montagnes
Ind96,Franches-Montagnes
Ind97,Franches-Montagnes
Ind98,Franches-Montagnes
Ind99,Yakutian horse
Ind100,Yakutian horse
Ind101,Yakutian horse
Ind102,Yakutian horse
Ind103,Yakutian horse
Ind104,Yakutian horse
Ind105,Yakutian horse
Ind106,Yakutian horse
Ind107,Yakutian horse
Ind108,Jeju horse
Ind109,Jeju horse
Ind110,Jeju horse
Ind111,Mongolian
Ind112,Mongolian
Ind113,Przewalski
Ind114,Przewalski
Ind115,Mongolian
Ind116,Mongolian
Ind117,Przewalski
Ind118,Przewalski
Ind119,Arabian
Ind120,Sorraia
Ind121,Hanoverian
Ind122,Hanoverian
Ind123,Dulmen pony
Ind124,Marwari
Ind125,Connemara Pony
Ind126,Connemara Pony
Ind127,Connemara Pony
Ind128,Connemara Pony
Ind129,Hanoverian
Ind130,Hanoverian
Ind131,Saxon-Thuringian Heavy Warmblood
Ind132,Sorraia
Ind133,Standardbred
Ind134,Standardbred
Ind135,Standardbred
Ind136,Standardbred
Ind137,Standardbred
Ind138,Standardbred
Ind139,Standardbred
Ind140,Standardbred
Ind141,Standardbred
Ind142,Standardbred
Ind143,Standardbred
Ind144,Standardbred
Ind145,Standardbred
Ind146,Thoroughbred
Ind147,Lipizzan
Ind148,Lipizzan
Ind149,Lipizzan
Ind150,Lipizzan
Ind151,Thoroughbred
Ind152,Thoroughbred
Ind153,Thoroughbred
Ind154,Thoroughbred
Ind155,Thoroughbred
Ind156,Thoroughbred
Ind157,Thoroughbred
Ind158,Thoroughbred
Ind159,Thoroughbred
Ind160,Thoroughbred
Ind161,Thoroughbred
Ind162,Thoroughbred
Ind163,Thoroughbred
Ind164,Jeju horse
Ind165,Jeju horse
Ind166,Jeju horse
Ind167,Thoroughbred
Ind168,Thoroughbred
Ind169,Thoroughbred
Ind170,Thoroughbred
BENSON,BENSON
